                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.3833,                 1.0081,                 1.2877,                0.58574,                0.38925,                0.40549,                0.22734,                 1.7084,                 1.1632,                 1.3768,               0.006436,               0.006436,               0.006436
                     38,                 1.3959,                0.99869,                 1.2897,                0.55861,                0.40081,                0.39475,                0.22355,                 1.6892,                 1.1443,                 1.3559,               0.006337,               0.006337,               0.006337
                     39,                 1.3758,                0.98891,                 1.2818,                0.58605,                0.39704,                0.40327,                0.22484,                 1.7049,                   1.16,                 1.3815,               0.006238,               0.006238,               0.006238
                     40,                 1.3666,                0.97253,                 1.2782,                0.57603,                0.39892,                0.40451,                0.22613,                 1.7163,                 1.1547,                 1.3528,               0.006139,               0.006139,               0.006139
                     41,                 1.3672,                 0.9774,                 1.2755,                0.58199,                0.39489,                0.40211,                0.22089,                 1.7445,                 1.1757,                 1.3809,                0.00604,                0.00604,                0.00604
                     42,                 1.3618,                0.97281,                 1.2728,                0.57068,                0.39113,                0.39825,                0.22288,                 1.7137,                 1.1493,                 1.3779,               0.005941,               0.005941,               0.005941
                     43,                  1.377,                0.97866,                 1.2814,                0.57295,                0.39489,                0.39985,                0.22361,                 1.7237,                 1.1137,                 1.3977,               0.005842,               0.005842,               0.005842
                     44,                 1.3587,                0.97521,                 1.2768,                0.58601,                0.40108,                0.41098,                0.22613,                  1.713,                 1.1299,                  1.375,               0.005743,               0.005743,               0.005743
                     45,                 1.3714,                0.97247,                 1.2713,                0.56447,                 0.4086,                0.41025,                0.22689,                 1.7138,                 1.1167,                 1.3774,               0.005644,               0.005644,               0.005644
                     46,                 1.3602,                 0.9748,                 1.2679,                0.57679,                 0.4086,                0.41204,                0.22966,                 1.6782,                  1.106,                  1.354,               0.005545,               0.005545,               0.005545
                     47,                 1.3459,                 0.9627,                 1.2626,                0.57147,                 0.4129,                0.41299,                0.23394,                 1.6817,                 1.1006,                 1.3478,               0.005446,               0.005446,               0.005446
                     48,                 1.3438,                0.95054,                 1.2639,                0.59407,                0.39194,                0.40897,                   0.23,                 1.6764,                  1.125,                 1.3455,               0.005347,               0.005347,               0.005347
                     49,                 1.3392,                0.95941,                 1.2661,                0.58807,                0.39812,                0.40716,                0.23015,                 1.6655,                 1.1282,                 1.3423,               0.005248,               0.005248,               0.005248
                     50,                 1.3456,                0.96025,                 1.2623,                0.58106,                0.40054,                 0.4058,                0.22856,                 1.6887,                 1.1143,                 1.3424,               0.005149,               0.005149,               0.005149
                     51,                 1.3475,                0.95007,                 1.2598,                 0.5785,                0.40672,                0.41197,                0.23051,                 1.6934,                 1.1163,                 1.3832,                0.00505,                0.00505,                0.00505
                     52,                 1.3343,                0.95328,                 1.2547,                0.57886,                0.40242,                0.40677,                0.22887,                 1.6961,                  1.105,                 1.3746,               0.004951,               0.004951,               0.004951
                     53,                 1.3219,                0.93858,                 1.2518,                0.57944,                0.41183,                0.41195,                0.23009,                  1.701,                 1.1046,                 1.3949,               0.004852,               0.004852,               0.004852
                     54,                 1.3326,                 0.9528,                 1.2585,                0.57018,                0.40726,                0.40596,                 0.2312,                 1.7008,                 1.0959,                 1.3928,               0.004753,               0.004753,               0.004753
                     55,                 1.3239,                0.93095,                  1.249,                0.58619,                0.40672,                0.41723,                0.23556,                 1.6968,                 1.0619,                 1.3838,               0.004654,               0.004654,               0.004654
                     56,                 1.3109,                0.92688,                   1.25,                 0.5668,                0.41011,                0.41298,                0.22985,                 1.7135,                 1.1005,                 1.3994,               0.004555,               0.004555,               0.004555
                     57,                 1.3143,                0.92189,                 1.2504,                 0.5769,                0.41126,                0.41663,                0.23185,                  1.696,                 1.0848,                 1.3603,               0.004456,               0.004456,               0.004456
                     58,                 1.3102,                0.92462,                 1.2451,                0.58398,                0.40323,                0.41441,                0.23271,                  1.697,                 1.0986,                 1.3689,               0.004357,               0.004357,               0.004357
                     59,                 1.3141,                0.93043,                 1.2476,                 0.5925,                0.39919,                0.41334,                0.23353,                 1.6885,                 1.0736,                  1.373,               0.004258,               0.004258,               0.004258
                     60,                 1.3122,                0.91846,                 1.2404,                0.58679,                 0.4078,                0.41499,                0.23665,                 1.6779,                 1.0696,                 1.3842,               0.004159,               0.004159,               0.004159
                     61,                 1.3211,                0.93652,                 1.2526,                0.58499,                0.41022,                0.41739,                0.23594,                 1.6752,                 1.0719,                 1.3719,                0.00406,                0.00406,                0.00406
                     62,                 1.3034,                 0.9237,                 1.2473,                0.58576,                 0.4043,                0.41572,                0.23594,                 1.6843,                  1.068,                 1.3668,               0.003961,               0.003961,               0.003961
                     63,                  1.305,                  0.918,                 1.2411,                0.58849,                0.40914,                0.41748,                0.23791,                 1.6713,                 1.0646,                 1.3634,               0.003862,               0.003862,               0.003862
                     64,                 1.3064,                0.92039,                 1.2388,                0.59076,                0.40941,                0.42058,                0.23766,                 1.6764,                  1.067,                 1.3674,               0.003763,               0.003763,               0.003763
                     65,                 1.3014,                0.91379,                 1.2419,                0.59965,                0.40914,                 0.4191,                0.23696,                 1.6891,                 1.0669,                  1.378,               0.003664,               0.003664,               0.003664
                     66,                 1.3045,                0.91189,                 1.2401,                 0.5827,                0.41613,                 0.4201,                0.23723,                 1.6831,                  1.074,                 1.3728,               0.003565,               0.003565,               0.003565
                     67,                 1.2947,                0.91151,                 1.2413,                0.58185,                0.41344,                  0.418,                0.23698,                 1.6761,                 1.0696,                 1.3613,               0.003466,               0.003466,               0.003466
                     68,                 1.2926,                0.91615,                 1.2316,                0.58577,                0.41371,                0.41947,                0.23699,                 1.6695,                  1.071,                  1.353,               0.003367,               0.003367,               0.003367
                     69,                  1.287,                 0.9031,                 1.2298,                0.58812,                0.41237,                0.41948,                 0.2379,                 1.6686,                 1.0652,                 1.3572,               0.003268,               0.003268,               0.003268
                     70,                 1.2883,                0.89948,                  1.231,                0.58763,                0.41409,                0.42005,                0.23853,                  1.672,                 1.0717,                 1.3729,               0.003169,               0.003169,               0.003169
                     71,                 1.2891,                0.89422,                 1.2267,                0.58266,                0.41237,                0.41977,                0.23823,                 1.6644,                 1.0675,                 1.3709,                0.00307,                0.00307,                0.00307
                     72,                 1.2874,                0.90285,                 1.2302,                0.58246,                  0.411,                0.42038,                0.23897,                 1.6646,                 1.0595,                 1.3661,               0.002971,               0.002971,               0.002971
                     73,                 1.2714,                 0.8907,                 1.2197,                0.58249,                0.41452,                0.42041,                0.23947,                 1.6662,                 1.0498,                  1.364,               0.002872,               0.002872,               0.002872
                     74,                 1.2727,                0.89036,                 1.2259,                0.57864,                0.41774,                0.42088,                0.24007,                 1.6675,                 1.0513,                 1.3661,               0.002773,               0.002773,               0.002773
                     75,                  1.266,                0.88138,                 1.2223,                0.58234,                0.41882,                0.42148,                0.23896,                 1.6666,                 1.0528,                  1.365,               0.002674,               0.002674,               0.002674
                     76,                 1.2789,                0.89811,                 1.2283,                0.58109,                0.42339,                 0.4233,                0.23925,                 1.6611,                 1.0497,                 1.3584,               0.002575,               0.002575,               0.002575
                     77,                  1.266,                0.89008,                 1.2187,                0.57872,                0.41989,                0.42095,                0.23862,                 1.6652,                 1.0543,                 1.3548,               0.002476,               0.002476,               0.002476
                     78,                 1.2641,                 0.8834,                 1.2171,                0.58095,                0.42097,                0.42069,                0.23888,                 1.6658,                 1.0527,                 1.3614,               0.002377,               0.002377,               0.002377
                     79,                 1.2567,                0.88052,                 1.2105,                0.58582,                0.42043,                0.41991,                0.23892,                 1.6712,                 1.0506,                 1.3782,               0.002278,               0.002278,               0.002278
                     80,                 1.2625,                0.87005,                 1.2152,                0.59112,                0.41828,                0.42069,                0.23906,                 1.6614,                 1.0486,                 1.3686,               0.002179,               0.002179,               0.002179
                     81,                 1.2512,                0.87523,                 1.2205,                0.58377,                0.41828,                0.42032,                0.23945,                 1.6644,                 1.0477,                 1.3746,                0.00208,                0.00208,                0.00208
                     82,                 1.2543,                0.88683,                 1.2182,                0.57933,                0.41935,                0.42138,                0.23988,                 1.6648,                  1.046,                 1.3721,               0.001981,               0.001981,               0.001981
                     83,                 1.2502,                0.87401,                 1.2069,                0.57888,                0.41747,                0.42159,                 0.2403,                 1.6671,                 1.0468,                 1.3764,               0.001882,               0.001882,               0.001882
                     84,                 1.2478,                0.87667,                 1.2111,                0.58259,                0.41759,                0.42176,                0.24032,                  1.663,                 1.0437,                 1.3695,               0.001783,               0.001783,               0.001783
                     85,                 1.2402,                0.84818,                 1.2012,                0.58207,                0.41932,                 0.4225,                 0.2405,                 1.6628,                   1.04,                 1.3699,               0.001684,               0.001684,               0.001684
                     86,                 1.2274,                0.85372,                 1.2066,                0.58327,                0.41935,                0.42438,                0.24143,                 1.6606,                 1.0377,                 1.3711,               0.001585,               0.001585,               0.001585
                     87,                 1.2198,                0.84898,                 1.2015,                0.58445,                 0.4207,                 0.4248,                0.24143,                 1.6595,                 1.0356,                   1.37,               0.001486,               0.001486,               0.001486
                     88,                 1.2358,                 0.8606,                 1.2138,                0.58518,                0.42055,                0.42487,                0.24214,                 1.6583,                  1.035,                 1.3691,               0.001387,               0.001387,               0.001387
                     89,                  1.228,                0.85596,                 1.2045,                 0.5842,                0.42204,                 0.4246,                0.24208,                 1.6553,                 1.0338,                 1.3674,               0.001288,               0.001288,               0.001288
                     90,                 1.2103,                0.78939,                  1.167,                0.58448,                0.42009,                0.42357,                0.24191,                 1.6571,                 1.0322,                 1.3696,               0.001189,               0.001189,               0.001189
                     91,                 1.1975,                0.77137,                 1.1604,                0.58614,                0.42177,                0.42591,                0.24284,                 1.6581,                 1.0292,                  1.374,                0.00109,                0.00109,                0.00109
                     92,                 1.1969,                0.76641,                 1.1675,                0.58625,                0.42339,                0.42597,                0.24338,                 1.6574,                 1.0284,                 1.3759,               0.000991,               0.000991,               0.000991
                     93,                 1.1883,                0.75895,                 1.1514,                0.58539,                0.42177,                0.42722,                0.24351,                 1.6603,                 1.0282,                 1.3793,               0.000892,               0.000892,               0.000892
                     94,                 1.1802,                0.75592,                 1.1522,                0.58701,                0.42231,                0.42746,                0.24374,                 1.6597,                 1.0278,                  1.378,               0.000793,               0.000793,               0.000793
                     95,                 1.1832,                0.75271,                 1.1487,                0.58504,                0.42124,                0.42746,                0.24378,                 1.6592,                 1.0276,                 1.3778,               0.000694,               0.000694,               0.000694
                     96,                 1.1806,                0.74833,                 1.1564,                0.58569,                 0.4222,                0.42844,                0.24398,                 1.6583,                 1.0273,                  1.378,               0.000595,               0.000595,               0.000595
                     97,                 1.1774,                0.74846,                 1.1494,                0.58669,                0.42127,                0.42819,                0.24433,                 1.6567,                 1.0261,                 1.3772,               0.000496,               0.000496,               0.000496
                     98,                 1.1694,                0.74224,                 1.1434,                0.58575,                0.42154,                0.42834,                0.24432,                  1.656,                 1.0269,                 1.3767,               0.000397,               0.000397,               0.000397
                     99,                 1.1681,                0.74011,                 1.1517,                 0.5861,                  0.421,                0.42904,                0.24469,                 1.6557,                  1.026,                 1.3779,               0.000298,               0.000298,               0.000298
